Diet,HF/CD,CD,HF
HMDB01227,-2.821592612,24535.559,3470.659
HMDB01032,-1.518647774,5504.96,1921.302
HMDB01919,-1.406538146,9629.375,3632.352
HMDB01229,-1.136071896,19046.73,8666.2
HMDB00048,-1.131506611,250598.1,114382.7
HMDB08836,-1.128352908,11648.717,5328.562
HMDB03533,-1.123361352,2761.641,1267.657
HMDB08835,-1.057855902,112887.1,54224.8
HMDB06791,-1.030276384,6354.745,3111.387
HMDB08835,-1.003729204,47045.39,23461.97
HMDB08836,-0.987143772,5760.533,2906.048
HMDB00048,-0.965586887,29946,15334.45
HMDB12085,-0.954135232,4694.418,2423.028
HMDB07941,-0.946038089,55780.27,28953.08
HMDB00174,-0.940286099,23075.53,12025.34
HMDB00151,-0.903761105,3067.104,1639.341
HMDB01097,-0.90362224,2223.03,1188.305
HMDB00048,-0.889153345,17837.207,9630.859
HMDB60652,-0.872519744,4751.563,2595.266
HMDB07951,-0.871791482,6476.489,3539.193
HMDB12315,-0.865600737,4061.098,2228.803
HMDB08845,-0.855725233,27590.22,15246.01
HMDB00064,-0.839646727,1792.035,1001.354
HMDB03681,-0.837217736,21264.79,11902.37
HMDB09111,-0.81101989,21284.81,12131.89
HMDB10355,-0.803717829,2965.172,1698.661
HMDB07935,-0.785787138,4891.829,2837.434
HMDB07940,-0.749234951,278127.8,165463.5
HMDB00714,-0.747783884,6691.723,3985.039
HMDB09111,-0.743548859,11294.94,6746.11
HMDB07885,-0.715106154,14905.285,9079.708
HMDB08062,-0.706053418,10198.44,6251.59
HMDB07940,-0.702882014,114582.19,70392.85
HMDB00048,-0.69202346,8107.672,5018.528
HMDB08845,-0.681803565,14043.951,8754.795
HMDB01227,-0.680941469,6800.622,4241.943
HMDB07918,-0.675893195,37290.89,23342.03
HMDB00951,-0.675702736,301217.1,188570.1
HMDB09144,-0.657782278,3432.084,2175.433
HMDB09611,-0.656988841,290677.9,184348.1
HMDB10166,-0.655815741,39198.13,24879.7
HMDB09611,-0.652262908,701206.3,446164.6
HMDB02596,-0.650894815,2276.85,1450.092
HMDB03464,-0.643969108,2263.91,1448.789
HMDB00279,-0.643315309,4502.571,2882.726
HMDB01231,-0.63950939,1931.411,1239.833
HMDB10323,-0.635341313,3520.633,2266.543
HMDB01513,-0.633956238,6543.259,4216.521
HMDB00450,-0.632730921,700.9035,452.0508
HMDB10405,-0.630015173,1618.103,1045.569
HMDB10382,-0.62992366,50445.04,32598.12
HMDB09611,-0.627422543,123151.42,79719.84
HMDB09611,-0.626104685,283660.2,183790.1
HMDB07892,-0.623010748,2827.057,1835.649
HMDB00951,-0.618488555,1123242.3,731627.2
HMDB00951,-0.603371708,3252.092,2140.572
HMDB00951,-0.602786702,69750.37,45929.28
HMDB08845,-0.59783716,2932.972,1937.943
HMDB06709,-0.589522196,2702.856,1796.218
HMDB00684,-0.586350555,4717.867,3142.22
HMDB10386,-0.583645915,3306.665,2206.456
HMDB02972,-0.582520862,1819.821,1215.269
HMDB12311,-0.580565809,3157.228,2111.243
HMDB12312,-0.578105642,2363.498,1583.172
HMDB00036,-0.577688491,2052.054,1374.951
HMDB08824,-0.572746814,1758.158,1182.072
HMDB10386,-0.571368728,1994.979,1342.577
HMDB07874,-0.570528369,5456.831,3674.467
HMDB03193,-0.566133139,3131.446,2115.056
HMDB06709,-0.565614161,2704.424,1827.292
HMDB06866,-0.562446856,5568.509,3770.731
HMDB00951,-0.562171342,5912.051,4004.126
HMDB10387,-0.561235846,25958.5,17592.63
HMDB07880,-0.557329171,4027.416,2736.867
HMDB10163,-0.545726998,11397.081,7807.526
HMDB09578,-0.545238846,34497.01,23640.04
HMDB02829,-0.539231416,2771.073,1906.879
HMDB08847,-0.538321223,2503.459,1723.811
HMDB08836,-0.538321223,2503.459,1723.811
HMDB01278,-0.535832604,2010.682,1386.889
HMDB00225,-0.53225039,4654.389,3218.395
HMDB10355,-0.531242378,1837.055,1271.166
