Diet,HF/CD,CD,HF
HMDB05843,0.805045521,13.46858,10.84282
HMDB11749,0.994469899,10.45008,10.39229
HMDB12815,0.994742075,10.62016,10.56432
HMDB00718,1.005083037,12.86239,12.92777
HMDB00092,1.014495501,15.87734,16.10749
HMDB00008,1.013256352,14.87287,15.07003
HMDB00187,1.003573371,14.21067,14.26145
HMDB01858,1.008203895,12.87803,12.98368
HMDB03905,1.009117486,13.62766,13.75191
HMDB03156,0.963822828,11.00086,10.60288
HMDB04230,1.005420458,13.60955,13.68332
HMDB00870,1.002808128,13.15467,13.19161
HMDB00444,1.016209859,13.73115,13.95373
HMDB00300,1.00771347,15.53905,15.65891
HMDB01164,0.980054645,12.46957,12.22086
HMDB00562,1.014544217,15.07472,15.29397
HMDB00076,1.008056764,13.565,13.67429
HMDB00453,0.99909262,11.28524,11.275
HMDB00323,1.002389591,10.13144,10.15565
HMDB00162,1.011102945,16.15067,16.32999
HMDB00134,1.04047212,15.55367,16.18316
HMDB00019,1.00255794,12.87755,12.91049
HMDB00535,0.972731752,13.8014,13.42506
HMDB12249,1.003825371,12.57133,12.61942
HMDB00883,1.005196969,16.98875,17.07704
HMDB00202,1.013785699,18.24717,18.49872
HMDB00407,1.029284212,12.35478,12.71658
HMDB00167,1.003004947,14.70575,14.74994
HMDB01527,1.013138574,12.23116,12.39186
HMDB04072,0.990966605,13.35157,13.23096
HMDB01406,1.001738659,14.74125,14.76688
HMDB01488,1.010823983,12.77903,12.91735
HMDB03903,1.013581487,15.8289,16.04388
HMDB01084,1.01288815,12.20889,12.36624
HMDB00079,1.007212096,16.9909,17.11344
HMDB00267,1.012440125,17.9958,18.21967
HMDB00070,0.966756271,12.55515,12.13777
HMDB00666,0.994780917,12.28185,12.21775
HMDB00725,1.002630398,13.10068,13.13514
HMDB00064,1.003665701,12.87612,12.92332
HMDB00687,1.006207361,18.47484,18.58952
HMDB00622,0.992979264,14.8389,14.73472
HMDB00168,1.004291133,14.03359,14.09381
HMDB00317,0.989885476,12.13898,12.0162
HMDB00191,1.021151539,15.87024,16.20592
HMDB00156,1.021153998,17.83209,18.20931
HMDB03224,0.993310444,11.46115,11.38448
HMDB00034,1.005405408,19.82644,19.93361
HMDB12128,1.003682674,9.910733,9.947231
HMDB11659,1.01067282,11.13389,11.25272
HMDB04989,1.013072119,10.82839,10.96994
HMDB12153,1.010738557,13.04179,13.18184
HMDB00224,1.027387997,14.46327,14.85939
HMDB03431,0.999270655,9.926717,9.919477
HMDB06331,1.012235036,17.11315,17.32253
HMDB00392,0.980756317,12.43421,12.19493
HMDB00894,1.003598887,13.06515,13.11217
HMDB00393,1.011672945,15.25836,15.43647
HMDB01988,0.990833507,12.35587,12.24261
HMDB00482,0.995159794,13.41885,13.3539
HMDB02284,0.996430352,10.04861,10.01274
HMDB01552,0.999444701,10.96706,10.96097
HMDB01263,0.956208437,14.37286,13.74345
HMDB06831,0.888706504,11.98318,10.64953
HMDB00208,1.029149933,13.65492,14.05296
HMDB01218,1.005757458,11.23065,11.29531
HMDB00641,1.007573941,19.93414,20.08512
HMDB00182,1.008378805,17.34615,17.49149
HMDB06779,1.011883659,15.63744,15.82327
HMDB00148,1.017395797,17.67036,17.97775
HMDB00694,1.016710172,14.8257,15.07344
HMDB00227,1.002365976,13.41518,13.44692
HMDB00696,1.007040216,13.41152,13.50594
HMDB00956,1.063280353,10.92535,11.61671
HMDB00283,0.983894225,13.84907,13.62602
HMDB04487,0.991552282,12.21395,12.11077
HMDB01859,1.01101807,12.59295,12.7317
HMDB00292,1.006707294,18.08479,18.20609
HMDB00020,1.003935016,13.85255,13.90706
HMDB03667,0.938016123,12.4292,11.65879
HMDB01476,1.006042609,13.14995,13.22941
HMDB13253,0.992170016,10.42914,10.34748
HMDB12251,1.009598978,12.33673,12.45515
HMDB00177,1.008557672,18.04229,18.19669
HMDB02320,1.026926082,12.26246,12.59264
HMDB04362,0.96824021,12.8288,12.42136
HMDB01241,1.000548175,11.23728,11.24344
HMDB00959,0.992144354,12.41782,12.32027
HMDB00462,1.009232069,13.78131,13.90854
HMDB12241,1.02258978,11.74115,12.00638
HMDB10721,1.00022805,13.19886,13.20187
HMDB00798,1.009050496,14.65997,14.79265
HMDB00339,0.982998776,13.70019,13.46727
HMDB00991,0.953253039,10.064419,9.593938
HMDB00225,1.000820366,12.71384,12.72427
HMDB02820,1.01138312,11.19816,11.32563
HMDB00555,0.995585749,12.48683,12.43171
HMDB03459,0.980798467,11.80687,11.58016
HMDB00486,0.993673497,11.85173,11.77675
HMDB02038,1.000714988,11.41278,11.42094
HMDB04077,0.963825482,13.01828,12.54735
HMDB00321,1.002771968,16.37465,16.42004
HMDB01424,0.971314465,12.13155,11.78355
HMDB00205,1.008936306,13.19449,13.3124
HMDB00174,0.957384241,14.43879,13.82347
HMDB12246,1.009161627,10.11829,10.21099
HMDB02005,1.007887923,12.67127,12.77122
HMDB00159,1.005195839,16.92893,17.01689
HMDB02334,1.01743384,14.2797,14.52865
HMDB00375,0.985657206,13.13203,12.94368
HMDB06462,1.005002401,18.86894,18.96333
HMDB03584,1.00140412,15.68242,15.70444
HMDB01545,1.00220119,12.77945,12.80758
HMDB00263,1.005238059,10.71962,10.77577
HMDB00289,1.001364602,17.27976,17.30334
HMDB00001,1.015980656,12.20413,12.39916
HMDB04980,0.940827075,12.75313,11.99849
HMDB00341,0.99695006,12.6691,12.63046
HMDB00721,1.006284545,12.87285,12.95375
HMDB00511,1.00838262,14.02664,14.14422
HMDB06488,0.99316424,11.20724,11.13063
HMDB00701,0.977458866,13.73001,13.42052
HMDB01264,1.01940591,13.99316,14.26471
HMDB12149,0.993410113,11.70278,11.62566
HMDB06028,1.005461196,12.42585,12.49371
HMDB00893,1.005657355,13.58939,13.66627
HMDB03357,0.940276162,13.30524,12.5106
HMDB00812,1.045892559,12.86178,13.45204
HMDB02201,0.978370624,10.93744,10.70087
HMDB00904,1.009672071,12.4844,12.60515
HMDB06355,1.068810671,18.06246,19.30535
HMDB00259,1.02253064,11.60331,11.86474
HMDB02043,0.986779868,12.15419,11.99351
HMDB01240,1.005364727,10.44042,10.49643
HMDB00122,1.002650775,18.22863,18.27695
HMDB00158,1.013586285,16.10374,16.32253
HMDB00247,1.015612994,14.86198,15.09402
HMDB01565,0.977140306,11.60383,11.33857
HMDB00272,1.013282188,15.76171,15.97106
HMDB06348,0.929668736,11.55816,10.74526
HMDB10724,0.98677644,12.47546,12.31049
HMDB02373,1.009128231,12.12064,12.23128
HMDB12150,0.997429043,10.85588,10.82797
HMDB01276,1.019346551,10.4706,10.67317
HMDB11635,1.079674582,12.44186,13.43316
HMDB06029,1.003313205,15.1364,15.18655
HMDB11717,1.001702561,14.76599,14.79113
HMDB00206,0.998749934,13.74327,13.72609
HMDB04823,1.003118492,14.28575,14.3303
HMDB00590,1.012929128,14.78522,14.97638
HMDB12710,1.029408755,13.48646,13.88308
HMDB11165,1.009091441,11.78911,11.89629
HMDB11745,1.005039039,11.93283,11.99296
HMDB01896,0.986681144,10.15853,10.02323
HMDB00094,1.017923816,15.74051,16.02264
HMDB00127,0.994130344,13.15239,13.07519
HMDB00954,0.981016061,11.25267,11.03905
HMDB00565,1.012068731,18.41453,18.63677
HMDB03966,1.013056823,11.77775,11.93153
HMDB04998,0.990713565,11.73432,11.62535
HMDB10729,1.02682702,12.19554,12.52271
HMDB00704,1.008320471,10.66406,10.75279
HMDB06406,0.955672794,10.96911,10.48288
HMDB00603,0.944064841,13.21995,12.48049
HMDB00638,1.014971966,16.8368,17.08888
HMDB00731,1.023818684,9.388764,9.612392
HMDB00832,0.974255262,10.88067,10.60055
HMDB00107,0.992988288,11.6719,11.59006
HMDB00792,0.98815058,13.89857,13.73388
HMDB00201,0.989450933,13.14903,13.01032
HMDB11667,1.01040277,12.89272,13.02684
HMDB04231,1.010970462,10.76436,10.88245
HMDB01451,1.009138199,12.01878,12.12861
HMDB01925,0.973357009,12.71066,12.37201
HMDB00860,0.987492458,13.11049,12.94651
HMDB02203,0.976566651,12.85305,12.55186
HMDB11714,1.023501455,12.19116,12.47767
HMDB00682,0.978069547,13.89757,13.59279
HMDB03581,0.965556185,12.05993,11.64454
HMDB10727,1.003897015,12.1221,12.16934
HMDB00910,1.010744365,13.77187,13.91984
HMDB06802,1.002317389,11.03397,11.05954
HMDB00114,1.042004776,17.24542,17.96981
HMDB13279,0.992735867,10.60278,10.52576
HMDB00888,0.988556942,12.66969,12.52471
HMDB00387,1.016161957,11.66876,11.85735
HMDB00856,0.986874719,12.0226,11.8648
HMDB00824,0.986009169,10.52475,10.3775
HMDB11150,1.014219938,9.462137,9.596688
HMDB01300,1.026971554,16.68684,17.13691
HMDB03764,0.999422,13.87543,13.86741
HMDB00350,0.966841161,12.7607,12.33757
HMDB00212,1.005216024,13.68667,13.75806
HMDB00099,1.004948815,13.11021,13.17509
HMDB10325,0.997559831,14.30229,14.26739
HMDB00560,1.013843158,12.47042,12.64305
HMDB00033,1.01464284,11.40216,11.56912
HMDB00499,1.026873157,14.54016,14.9309
HMDB01228,1.016963594,12.19376,12.40061
HMDB00933,0.960630656,12.85645,12.3503
HMDB11175,0.984276324,12.54732,12.35003
HMDB13267,0.995442304,10.92438,10.87459
HMDB00618,1.003330028,15.29717,15.34811
HMDB03219,0.995011844,11.57943,11.52167
HMDB02335,0.99423269,12.54831,12.47594
HMDB01434,0.997446166,10.84252,10.81483
HMDB12161,1.00214442,12.40895,12.43556
HMDB01974,1.011350939,11.08895,11.21482
HMDB13125,0.954745651,11.04822,10.54824
HMDB11725,1.017653764,14.18621,14.43665
HMDB00038,0.991076207,12.63028,12.51757
HMDB00194,1.000033448,11.66003,11.66042
HMDB10730,1.008880992,12.16193,12.26994
HMDB00826,1.008241219,16.80698,16.94549
HMDB02366,0.969270517,10.91102,10.57573
HMDB13286,1.005634972,13.58303,13.65957
HMDB00296,1.003916086,17.1319,17.19899
HMDB02327,1.000264406,12.36736,12.37063
HMDB01931,0.953443151,12.44543,11.86601
HMDB01526,0.999128324,12.83734,12.82615
HMDB02012,0.958949435,11.49363,11.02181
HMDB00736,0.991770307,12.19122,12.09089
HMDB04086,0.997408611,11.90867,11.87781
HMDB04195,0.946954635,13.67603,12.95058
HMDB12273,1.011549873,12.13693,12.27711
HMDB00220,1.009855642,21.67185,21.88544
HMDB00086,1.030786697,13.69715,14.11884
HMDB13161,1.001245091,10.90683,10.92041
HMDB00124,0.998954518,17.42737,17.40915
HMDB11171,0.994817395,13.01662,12.94916
HMDB01551,1.030338319,11.84179,12.20105
HMDB00497,0.993915669,11.60029,11.52971
HMDB00050,1.003060295,14.33522,14.37909
HMDB04081,0.99746355,14.09056,14.05482
HMDB10733,0.98987802,14.96644,14.81495
HMDB10734,0.987282335,14.33911,14.15675
HMDB13238,0.982087554,9.767008,9.592057
HMDB01388,0.973601756,18.04817,17.57173
HMDB00673,0.999404543,21.31138,21.29869
HMDB01358,0.973667839,12.79538,12.45845
HMDB00827,1.01166969,20.96114,21.20575
HMDB01068,1.011278118,15.56022,15.73571
HMDB11685,1.01711771,12.07054,12.27716
HMDB01852,0.986656617,12.89553,12.72346
HMDB01062,1.013630717,13.98239,14.17298
HMDB01067,1.00017508,11.88025,11.88233
HMDB01043,1.029651764,18.80394,19.36151
HMDB04269,0.965943304,12.39903,11.97676
HMDB00125,1.011998993,17.91067,18.12558
HMDB05060,1.038881482,14.84357,15.42071
HMDB00031,1.029033304,13.38394,13.77252
HMDB00553,1.012204029,14.64926,14.82804
HMDB01016,0.994742071,14.03214,13.95836
HMDB02156,1.017980926,10.05788,10.23873
HMDB05045,0.992538151,12.73813,12.64308
HMDB00095,0.962243046,14.90295,14.34026
HMDB12252,0.975753382,9.545785,9.314332
HMDB12799,0.99253676,10.92555,10.84401
HMDB02088,0.987615087,10.15752,10.03172
HMDB05023,0.996225872,11.67157,11.62752
HMDB02183,1.032843113,17.90147,18.48941
HMDB02121,0.977201615,11.9912,11.71782
HMDB06528,1.030506934,15.35782,15.82634
HMDB02226,1.055012565,14.62375,15.42824
HMDB02884,1.017607725,11.85616,12.06492
HMDB00944,1.009935905,13.11808,13.24842
HMDB06591,0.97583815,10.99833,10.73259
HMDB01922,0.992467902,11.83734,11.74818
HMDB00045,1.000490902,19.22989,19.23933
HMDB04080,0.996565011,9.848067,9.814239
HMDB11681,1.007156389,16.28475,16.40129
HMDB00353,1.005514537,11.94842,12.01431
HMDB03601,0.966577987,11.09987,10.72889
HMDB11539,0.975487368,10.9209,10.6532
HMDB02685,0.966496433,11.93455,11.5347
HMDB02007,1.048447636,12.17562,12.7655
HMDB06273,1.006646261,13.2315,13.31944
HMDB00037,0.966504694,12.21813,11.80888
HMDB11153,0.99462729,10.25181,10.19673
HMDB01439,1.00334142,12.29118,12.33225
HMDB00949,1.020629747,13.40443,13.68096
HMDB02368,1.002607934,11.77177,11.80247
HMDB03180,0.991031366,12.76114,12.64669
HMDB02886,0.97153981,13.24306,12.86616
HMDB00418,0.98583808,14.76989,14.56072
HMDB02304,1.005801694,10.34353,10.40354
HMDB03572,0.992735704,16.64442,16.52351
HMDB02082,0.984865787,13.25804,13.05739
HMDB11575,0.971309455,10.44839,10.14862
HMDB00912,1.023349338,12.33611,12.62415
HMDB11543,1.003974919,11.49709,11.54279
HMDB00280,1.012682709,11.37533,11.5196
HMDB01984,1.021737414,12.16152,12.42588
HMDB00447,0.978935314,11.63986,11.39467
HMDB12575,1.019717058,10.61771,10.82706
HMDB05022,0.954166278,11.35474,10.83431
HMDB03556,0.987024144,11.67553,11.52403
HMDB01341,1.0154302,16.22014,16.47042
HMDB10334,0.992082473,11.54022,11.44885
HMDB00416,0.983470237,11.94391,11.74648
HMDB03474,1.011591475,11.26345,11.39401
HMDB07852,0.984396544,13.09838,12.894
HMDB11152,0.999930388,11.7796,11.77878
HMDB11589,1.007082186,11.08556,11.16407
HMDB11118,0.992956315,10.97295,10.89566
HMDB06898,1.001353894,11.54448,11.56011
HMDB00513,1.028384621,11.25222,11.57161
HMDB10321,0.983507118,11.2879,11.10173
HMDB01396,0.945109805,11.39566,10.77015
HMDB06321,0.992125559,10.74616,10.66154
HMDB00036,1.005787144,23.96519,24.10388
HMDB04135,0.986559144,12.48358,12.31579
