Diet,Fold Change HF/CD,CD,HF
Ptplb,16.27379687,6.933663,11.832564
Hist1h4h,9.140318372,17.87024,20.62175
Ahsg,7.591868029,16.88303,19.16841
Msh6,7.26382763,17.03152,19.21815
H3f3a,6.954024616,16.53957,18.63294
Dgka,6.531608239,12.3066,14.27281
Calml3,5.339301808,14.49848,16.10577
Xpo1,5.257814911,15.37562,16.95838
Eif2ak2,5.19041299,11.32337,12.88584
Ppp2r5e,5.078297917,14.45835,15.98707
Tdrd7,4.794871012,13.08326,14.52666
Eif4h,4.595555326,16.98149,18.36489
Arhgef1,4.538019532,11.95621,13.32229
Fabp3,4.369830312,14.35967,15.67512
Magoh,4.335823735,9.425201,10.730414
H3f3c,4.252001523,13.4965,14.77648
Apoa2,4.231372349,14.90816,16.18193
Grn,4.199415401,15.14979,16.41394
H1f0,4.135634382,16.61823,17.86318
Vti1b,4.041358062,13.8806,15.09717
Sec24a,3.969571196,15.87272,17.06768
Gga3,3.93661767,12.72014,13.90518
Mepce,3.765471934,13.68751,14.82103
Spry1,3.6182773,13.33366,14.42287
Ttr,3.588114193,15.16361,16.24374
Pros1,3.35820355,11.29453,12.30545
Cdc42bpb,3.351825448,12.85675,13.86575
Ndufb6,3.267681009,14.50987,15.49354
Cyp17a1,3.245191556,13.21397,14.19087
Ubr4,3.16828892,16.61247,17.56622
Gabra3,3.163139932,15.11518,16.06738
Tinagl1,3.16137931,11.10216,12.05383
Nop2,3.077567064,12.63726,13.5637
Uqcr10,3.018004893,16.22724,17.13575
Atp5j2,2.996080168,17.90883,18.81074
Eif2ak1,2.972195505,13.4926,14.38732
Pygb,2.944789598,14.79116,15.67763
Cdc5l,2.8846627,13.36906,14.23743
Agxt2,2.854300277,16.43878,17.29801
Asgr1,2.8541674,15.4017,16.26089
Fabp2,2.803840189,15.85489,16.69893
Hist1h1t,2.79550215,17.9018,18.74333
Gimap4,2.727900913,14.78651,15.60769
Slc25a15,2.718267321,16.52777,17.34605
Epb4.1l2,2.704580978,14.35,15.16416
Rab2b,2.6961765,15.73466,16.54629
Cnnm3,2.683619611,14.18908,14.99693
Ces3a,2.66611305,16.96724,17.76982
Kras,2.664153113,15.69123,16.49322
Ftcd,2.655781854,18.30248,19.10195
Pemt,2.624522511,13.81764,14.6077
Cd109,2.606484441,14.83459,15.61922
Nudt7,2.597648112,16.05089,16.83286
Hsd17b10,2.579477166,17.79108,18.56758
Cd82,2.578181614,12.01152,12.78763
Slc25a23,2.5769525,14.08797,14.86371
Glul,2.569345285,18.84722,19.62067
Tubb2a,2.552303794,15.14324,15.91156
Pcnt,2.53306983,12.53666,13.29919
Hsdl1,2.526724948,15.13275,15.89337
Ggct,2.523137265,13.33367,14.09321
Ssr1,2.514068401,16.51766,17.27447
Pla2g12b,2.482111453,12.21417,12.96136
Tgfbrap1,2.475035746,17.90514,18.6502
Aspdh,2.459987412,17.22626,17.96679
Sec61b,2.442613728,15.53157,16.26687
Napg,2.422117432,13.78031,14.50944
Cpt1b,2.405175599,15.21871,15.94274
Luc7l2,2.39909647,14.01033,14.73253
Atp5j,2.386539582,16.55046,17.26888
Matr3,2.368069662,14.09596,14.80882
Cox7c,2.359665184,17.04569,17.75602
Ebp,2.358934359,16.6261,17.33621
Slc22a7,2.352523038,10.84266,11.55084
Lgals9,2.338404844,16.37106,17.07499
Ctse,2.323157194,13.51104,14.21038
Cox7a2,2.31873903,17.22752,17.92553
Scfd2,2.304454739,13.5326,14.22631
Ces3b,2.282297478,17.85121,18.53825
Acox1,2.276052253,17.45356,18.13872
Telo2,2.274125535,13.1276,13.81218
Ighg1,2.273992658,14.404,15.08854
Mup11,2.272896422,16.94842,17.63263
Tmx1,2.261601866,13.97546,14.65627
Plscr1,2.257980965,12.01589,12.69561
Abcd3,2.255655615,16.71095,17.38997
Krt1,2.253230607,17.48795,18.16624
Kpna1,2.253031292,12.66757,13.3458
Pygm,2.240142211,18.05686,18.73121
Gpd1l,2.233498355,15.84763,16.51998
Pxmp4,2.230442181,14.08398,14.75541
Derl1,2.215161312,14.71268,15.37951
Hrsp12,2.214928777,19.73307,20.39983
Ttc38,2.213002058,15.74953,16.41571
Sdhc,2.210377735,14.73482,15.40021
Acsl1,2.207653754,18.19892,18.86349
Rps27a,2.207221903,14.41359,15.07803
Gstk1,2.202803739,16.47603,17.13914
Rhot1,2.194963989,15.33601,15.99676
Hp,2.189682123,15.47753,16.13669
Pank3,2.186725607,12.55515,13.21342
Tubal3,2.183636214,16.49317,17.15051
Col4a1,2.180314286,13.67326,14.3296
Tpp1,2.179284488,15.51648,16.17251
Ccdc106,2.177922498,12.24696,12.90258
Pcbd1,2.17456735,17.12417,17.77878
Hist1h1d,2.157326543,16.16123,16.81065
Rcc2,2.152277213,14.26429,14.91219
Hsd17b4,2.150915222,18.23834,18.88583
Spon1,2.14314191,12.80056,13.44571
Slc25a20,2.13297681,16.71717,17.35926
Sipa1,2.126465831,14.96883,15.60896
Rab6b,2.122413079,14.66286,15.30177
Surf4,2.119821975,14.86971,15.50784
Dhrs7b,2.118626081,13.46829,14.10606
Brp44,2.11311168,16.22552,16.86163
Ddost,2.105139053,16.93831,17.57202
Atp6v1e2,2.101418494,13.36922,14.00181
Krt27,2.091319832,17.76748,18.39703
Isoc2a,2.086735571,17.40937,18.03754
Cenpp,2.082350626,13.74909,14.37594
Copb2,2.080091715,16.88683,17.513
Gulo,2.077899243,16.83109,17.4566
Agpat2,2.057270069,14.80066,15.41996
Tm9sf3,2.035644317,14.67274,15.28553
Nlrp6,2.033152871,11.8961,12.50814
Ppp1r7,2.017573028,14.70099,15.30834
Ktn1,2.016775766,12.47517,13.08228
Adrm1,2.011792874,13.33045,13.93606
Psap,2.009533962,17.81042,18.41535
Usmg5,2.00734149,16.42464,17.02891
Hsd3b3,2.000132906,14.99167,15.59377
Ephx2,1.996910636,18.17541,18.77654
Rab39b,1.987376702,17.07373,17.67199
Hist1h1e,1.977743111,17.75145,18.34681
Slco1b2,1.976779751,16.0442,16.63927
Aqp1,1.960170111,15.93552,16.52559
Ndufa1,1.959605383,13.51558,14.10548
Tgm2,1.947048495,16.57616,17.16228
Rpl18a,1.939308403,15.89603,16.47982
Spnb2,1.93525565,14.93851,15.52108
Rhoc,1.930704609,16.2168,16.798
Reep5,1.926851172,11.95118,12.53122
Tmed10,1.909244953,14.80717,15.38191
Cox6c,1.909112076,17.75605,18.33075
Fam136a,1.90801584,14.84392,15.41829
Mup2,1.905059324,14.60266,15.17614
Dhrs4,1.894927443,16.48011,17.05054
Sec11a,1.889844893,14.59045,15.15935
Acy3,1.883101379,16.21318,16.78005
Rpn2,1.877254786,16.0837,16.64881
Cpt1a,1.871574289,16.15561,16.71901
Agpat3,1.871242096,14.43918,15.00248
Nek7,1.867886948,16.07017,16.63246
Elp3,1.861375969,13.24327,13.8036
Esd,1.853536219,17.84679,18.40476
Vnn1,1.845995442,13.36923,13.92493
Fads2,1.844633452,14.95703,15.51232
Mogs,1.836228974,15.08737,15.64013
Hsp90b1,1.835531369,19.06761,19.62016
Cd36,1.816131309,14.92781,15.47452
Tmem120a,1.811480609,13.22776,13.77307
Smc1a,1.808457655,13.96517,14.50957
Apoe,1.807660392,17.21458,17.75874
Sh3gl2,1.806763472,13.92216,14.46605
Mal2,1.801647702,15.5894,16.13175
Bdh1,1.796797687,18.1053,18.64619
Fau,1.794405899,16.57892,17.11909
Crip1,1.791449383,12.86939,13.40867
Gckr,1.785204158,15.81003,16.34743
Krt84,1.778693179,16.4759,17.01134
Rpl19,1.778527083,17.28393,17.81932
Snrpd1,1.770089385,15.47275,16.0056
Acaa1a,1.768395202,18.49958,19.03192
Rhoq,1.767963351,15.97221,16.50442
Acaa1b,1.76527259,18.26951,18.80091
Ogdh,1.763943818,16.26838,16.79938
Gnao1,1.761219837,14.29425,14.82443
Col4a2,1.750091378,13.86123,14.38806
Rpl4,1.749360554,17.47672,18.00333
Mpp2,1.740491006,13.49035,14.01429
Dock7,1.729130012,13.31795,13.83847
Pus1,1.720991288,14.38703,14.9051
Atp2a1,1.720858411,14.72425,15.24228
Sts,1.715975177,13.80115,14.31771
Slc25a12,1.712055302,15.83896,16.35434
Cse1l,1.71165667,14.9404,15.45566
Sec61a1,1.709597075,15.78486,16.2995
Ufsp2,1.708666935,12.57073,13.08509
Sri,1.707205287,15.60037,16.11429
Rpl35a,1.703152534,16.17983,16.69253
