Diet,Fold Change HF/CD,CD,HF
A1bg,-8.756834993,10.86907,8.233
Gsta2,-7.520778768,10.83648,8.5725
Hamp,-6.703684115,18.93926,16.92125
Hamp2,-6.05248655,18.65648,16.8345
Ces2a,-5.980899,14.05593,12.2555
Cyp3a44,-5.814769376,13.35167,11.60125
Cyp3a41a,-5.51752325,16.67944,15.0185
Cyp3a41b,-5.457263474,16.7663,15.1235
Id1,-5.396103456,9.398889,7.7745
Gm3776,-5.064893937,8.945185,7.4205
H60b,-5.001528159,11.59111,10.0855
Fmo3,-4.931369038,13.60074,12.11625
Cyp3a11,-4.742617083,17.76167,16.334
Cyp26a1,-4.67912175,7.950556,6.542
Id3,-4.439663885,8.332222,6.99575
Gm11096,-4.302096199,10.38556,9.0905
Cyp2f2,-3.997010322,15.42222,14.219
Cyp3a16,-3.790087421,13.84593,12.705
Etnppl,-3.596252917,11.97833,10.89575
Cyp2c54,-3.541773296,14.26593,13.19975
Abcc3,-3.390559129,13.48241,12.46175
Cyp3a59,-3.378566969,11.6463,10.62925
Ndrg1,-3.291691905,9.063148,8.07225
Atoh8,-3.240172123,7.188889,6.2135
Gstt3,-2.912301142,13.22944,12.35275
Gm17482,-2.845324427,5.612778,4.75625
Gm10639,-2.837112621,9.575556,8.7215
Gm8074,-2.733023326,5.787222,4.9645
Atp6v0d2,-2.726837896,10.98111,10.16025
Mme,-2.701528126,9.340741,8.5275
Acmsd,-2.59962466,8.534815,7.75225
Cyp2c40,-2.57050796,14.3563,13.5825
Htatip2,-2.483048237,9.772222,9.02475
Gpcpd1,-2.462993757,8.880185,8.13875
Cyp3a25,-2.421652362,16.00574,15.27675
Cyp2c69,-2.385908416,15.26648,14.54825
Gstm3,-2.330565094,13.74407,13.0425
Cyp2c55,-2.320057835,7.357407,6.659
Cirbp,-2.259894395,8.361296,7.681
Ppp1r3c,-2.210842805,10.83778,10.17225
Ar,-2.188751983,7.24463,6.58575
Arntl,-2.152210774,7.17463,6.52675
Fbxo21,-2.121788557,9.992222,9.3535
Cyp2c37,-2.100122942,15.6587,15.0265
Cyp3a57,-2.06128628,9.054259,8.43375
Chi3l3,-2.05971833,5.337037,4.717
Ethe1,-2.040793306,12.28259,11.66825
Abcc4,-2.034680958,7.235,6.6225
H2.DMb1,-2.019546254,9.574444,8.9665
Map4k4,-2.015304152,6.891667,6.285
Pir,-1.979776131,6.877222,6.28125
Gm11084,-1.969288804,6.669815,6.077
Got1,-1.961532101,14.26648,13.676
Ccng2,-1.900774037,10.38519,9.813
Klhl6,-1.897681322,6.814259,6.243
H2.Ab1,-1.87981267,9.41463,8.84875
Prom1,-1.877105299,6.349815,5.78475
Acot1,-1.841979231,9.895741,9.34125
Hal,-1.841610497,15.14963,14.59525
Id2,-1.777032215,15.62444,15.0895
Odf2,-1.773756794,6.208704,5.67475
Cyp2c29,-1.762282854,16.775,16.2445
Gm4794,-1.705743638,15.22148,14.708
Akr1b7,-1.703996304,5.313704,4.80075
Odf3b,-1.688801805,7.75963,7.25125
Gm2a,-1.686410017,14.31241,13.80475
H2.Eb1,-1.67840417,9.785,9.27975
Myc,-1.665548308,8.29463,7.79325
Apom,-1.661794529,10.56,10.05975
Cth,-1.653024639,15.57611,15.0785
H2.Aa,-1.628807783,11.99907,11.50875
Clpx,-1.627811205,12.15852,11.6685
Gstt2,-1.617978298,12.48981,12.00275
Nqo1,-1.614393937,8.216481,7.7305
Inpp5d,-1.610580364,6.813333,6.3285
Aprt,-1.600215948,9.792963,9.31125
Kcnn2,-1.589741909,10.28556,9.807
Lepr,-1.572132368,6.154259,5.681
Itih5,-1.568750645,6.515741,6.0435
Dhrs9,-1.549247606,4.56537,4.099
Glt1d1,-1.543773068,8.302222,7.8375
Adck3,-1.540211961,13.95815,13.4945
Cd74,-1.528950625,13.22926,12.769
D17H6S56E.5,-1.521443067,7.11,6.652
BC100530,-1.514646403,4.848704,4.39275
Olfr1034,-1.513477084,4.581852,4.12625
Plp2,-1.494282983,8.199074,7.74925
Asap1,-1.470185717,10.21907,9.7765
Ces1g,-1.453310322,14.85574,14.41825
Dock8,-1.4519284,7.694074,7.257
Aloxe3,-1.447131536,4.71463,4.279
Gm9396,-1.444706528,11.27815,10.84325
Erbb3,-1.443314641,9.636481,9.202
Car2,-1.43504304,7.560741,7.12875
Arhgap11a,-1.431751009,4.72,4.289
Fam76b,-1.421323477,8.786111,8.35825
Ddc,-1.41467962,9.536111,9.11025
Cdk19,-1.406713637,7.877963,7.4545
Gpx6,-1.401577936,6.641667,6.21975
Prkcb1,-1.39391757,7.741111,7.3215
Hnf4aos,-1.39176496,4.842963,4.424
Itgam,-1.389705365,6.127593,5.70925
Prrc2c,-1.388997794,10.17463,9.7565
Htra4,-1.385151002,5.737222,5.32025
Mt2,-1.385077919,18.6437,18.22675
Kdm5a,-1.379523655,6.352778,5.9375
Akr1b8,-1.376045597,7.161481,6.74725
Bmp6,-1.360944112,7.015185,6.6055
Plk1,-1.358176945,5.636852,5.228
H2.Oa,-1.348181264,5.137593,4.73175
Asl,-1.348038421,13.5813,13.1755
Cyp2b10,-1.341859635,14.47519,14.07125
Pfkp,-1.341597202,6.961111,6.55725
Gsr,-1.340464425,12.06352,11.66
Hjurp,-1.33700962,10.55148,10.149
Fam126a,-1.330339188,9.727222,9.32675
Cdh17,-1.329478809,4.452963,4.05275
Gstm4,-1.319204085,12.11537,11.71825
Ezr,-1.31612798,6.594444,6.19825
Aurkb,-1.313945473,4.957037,4.5615
Aldoc,-1.301179303,8.914444,8.52275
Aoah,-1.298721076,7.173704,6.78275
Glipr1,-1.297950389,7.457222,7.0665
Phip,-1.296412336,7.969259,7.579
Napsa,-1.29552206,5.275741,4.88575
Gm9493,-1.2908016,15.52907,15.1405
F13a1,-1.286971417,4.961667,4.57425
Acvr2b,-1.282632979,4.106111,3.72
Herc1,-1.278573583,8.723889,8.339
Olfr1036,-1.27731125,6.199259,5.81475
Cyp2g1,-1.272913017,7.380185,6.997
Fos,-1.271497876,5.104259,4.7215
Bhlhe41,-1.270544482,5.817222,5.43475
AI467606,-1.270451468,4.524444,4.142
Cdca3,-1.270205646,5.44037,5.058
X7.Mar,-1.269836912,9.789259,9.407
Alox5ap,-1.265162959,7.436852,7.056
Gpr108,-1.263040247,8.122963,7.74275
Asrgl1,-1.26113346,7.643889,7.26425
Atrx,-1.260572054,10.77222,10.39275
Gm13547,-1.256452863,10.49648,10.11825
Irs2,-1.253473094,9.033333,8.656
Gsto1,-1.249177841,11.41204,11.036
Asap2,-1.247506911,6.857037,6.4815
Cyp2c50,-1.245889132,16.9063,16.53125
Lsp1,-1.244493922,7.43963,7.065
Polr1a,-1.241786551,7.494815,7.121
Cep192,-1.239325002,5.899074,5.526
Igfbp2,-1.225990783,16.33481,15.96575
Cyp4a10,-1.221572618,16.02148,15.65375
Abcd2,-1.218350348,12.17426,11.8075
Hnrnpa1,-1.215360613,10.65611,10.29025
Dennd4a,-1.21401191,9.938704,9.57325
Aass,-1.212802728,14.95759,14.5925
Cyp2j9,-1.211520464,7.583704,7.219
Mia3,-1.211374299,11.81241,11.44775
Olfm4,-1.210596968,3.570926,3.2065
Apbb1ip,-1.202444956,6.572222,6.21025
Cib3,-1.2018304,4.662037,4.30025
Dph5,-1.200847109,7.755741,7.39425
Ankrd11,-1.194665001,8.62463,8.265
Maoa,-1.1926652,6.632778,6.27375
Hmmr,-1.191678587,5.396481,5.03775
Osbp2,-1.191678587,5.046481,4.68775
Ppil6,-1.18851279,5.172778,4.815
Ms4a3,-1.187313574,4.676667,4.31925
Mcm7,-1.186174153,8.384074,8.027
Dapp1,-1.185097848,5.42,5.06325
Cxcr2,-1.184051441,5.950185,5.59375
BC027231,-1.183313972,6.517963,6.16175
Ccr1,-1.183284075,4.473704,4.1175
Bdh2,-1.182144654,6.671111,6.31525
Ddx3x,-1.179483789,14.06481,13.70975
Ddx21,-1.176301382,8.676852,8.32275
Gm10717,-1.170394994,9.184074,8.83175
Prkcd,-1.168704133,8.759815,8.408
Npas2,-1.157877969,6.800556,6.452
Il2rb,-1.155632346,5.61463,5.26675
Ptpn9,-1.155599126,8.29537,7.9475
Kif11,-1.15341662,5.247963,4.90075
Fbrs,-1.153200694,8.768148,8.421
Cdk9,-1.151509833,6.883889,6.53725
Hvcn1,-1.150031575,5.254444,4.90825
Btg1,-1.145726356,9.303148,8.95825
Crebbp,-1.145633342,10.81537,10.4705
Mllt10,-1.145297827,9.438519,9.09375
Ccna2,-1.144128509,4.421667,4.07725
Ap4e1,-1.143327924,5.980926,5.63675
Mug2,-1.142543949,12.70444,12.3605
Aspg,-1.142404428,7.863148,7.51925
Crybg3,-1.140806581,5.381667,5.03825
Ctsg,-1.137883284,3.847037,3.5045
Cyp1a1,-1.137697256,3.871481,3.529
Atxn7l1,-1.13649804,8.64037,8.29825
Mki67,-1.134315533,6.127963,5.7865
Pop1,-1.13379399,6.940556,6.59925
Ccnb1,-1.131608162,5.383148,5.0425
Cnp,-1.129947198,6.638148,6.298
Exosc9,-1.12819322,8.01537,7.67575
Pigx,-1.126778078,8.199444,7.86025
Lcp1,-1.126299721,12.0563,11.71725
Ccnb2,-1.121705494,5.936667,5.599
BC051142,-1.121519466,4.771111,4.4335
Map4k1,-1.120904909,4.920926,4.5835
Pi4ka,-1.119642577,7.296296,6.95925
Cd19,-1.119582782,5.752778,5.41575
Cd34,-1.11930374,5.959444,5.6225
Cept1,-1.113078447,12.31407,11.979
Dnajc7,-1.105570889,10.96981,10.637
Luc7l,-1.105185546,7.049444,6.71675
Hmgb2,-1.10183372,6.515185,6.1835
Mmp8,-1.100943443,5.576667,5.24525
Gm6109,-1.096575108,4.591852,4.26175
Myb,-1.095744626,5.456852,5.127
Kif20b,-1.094728116,5.466296,5.13675
Add3,-1.091253379,8.345,8.0165
Chd2,-1.088363302,7.42963,7.102
Inpp5k,-1.08808426,7.351296,7.02375
Id4,-1.087409908,5.702593,5.37525
Gm10375,-1.086117678,4.603704,4.27675
Bzw2,-1.085164285,7.221667,6.895
Arrdc4,-1.084393598,8.320185,7.99375
Cd276,-1.083994966,6.159815,5.8335
Pola1,-1.083994966,4.319815,3.9935
Ahctf1,-1.08279575,7.108704,6.78275
Kif6,-1.08208818,5.070741,4.745
Fam55c,-1.079995365,5.491111,5.166
Cyp1b1,-1.078181592,4.354815,4.03025
Gcnt1,-1.078181592,5.239815,4.91525
Casc5,-1.077719844,3.725926,3.4015
Gm2933,-1.077072068,3.696481,3.37225
Cds2,-1.075274905,12.27519,11.9515
Ltc4s,-1.073291714,5.892593,5.5695
Cd163,-1.069783758,7.187037,6.865
Izumo4,-1.068338719,6.191852,5.87025
Ccdc67,-1.068245705,5.304074,4.9825
Ash2l,-1.065817376,8.567593,8.24675
Dock7,-1.065724362,7.404815,7.084
Gm10377,-1.062339317,4.306296,3.9865
Apoa5,-1.057236835,14.05926,13.741
Ppfia1,-1.057110602,7.597222,7.279
Brd8,-1.055758577,8.814815,8.497
Ptprb,-1.053944805,8.908519,8.59125
Dtx4,-1.053326926,6.318333,6.00125
Myst4,-1.052958192,6.977222,6.66025
Lpcat2,-1.051453359,5.298519,4.982
AB041803,-1.051267331,8.592963,8.2765
Ccl5,-1.048530062,7.238889,6.92325
Gnb2l1,-1.047868998,13.17444,12.859
Cdca5,-1.045208134,3.633889,3.31925
Parp4,-1.045055325,6.927593,6.613
